,title,budget,popularity,production_companies,release_date,revenue,runtime,status,tagline,vote_average,vote_count
15,Casino,52000000,10.137389,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Légende Entreprises', 'id': 10898}, {'name': 'Syalis DA', 'id': 11583}, {'name': 'De Fina-Cappa', 'id': 11584}]",1995-11-22,116112375.0,178.0,Released,No one stays at the top forever.,7.8,1343.0
16,Sense and Sensibility,16500000,10.673167,"[{'name': 'Columbia Pictures Corporation', 'id': 441}, {'name': 'Mirage Enterprises', 'id': 932}]",1995-12-13,135000000.0,136.0,Released,Lose your heart and come to your senses.,7.2,364.0
17,Four Rooms,4000000,9.026586,"[{'name': 'Miramax Films', 'id': 14}, {'name': 'A Band Apart', 'id': 59}]",1995-12-09,4300000.0,98.0,Released,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.",6.5,539.0
18,Ace Ventura: When Nature Calls,30000000,8.205448,"[{'name': 'O Entertainment', 'id': 5682}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Morgan Creek Productions', 'id': 10210}]",1995-11-10,212385533.0,90.0,Released,New animals. New adventures. Same hair.,6.1,1128.0
19,Money Train,60000000,7.337906,"[{'name': 'Columbia Pictures', 'id': 5}]",1995-11-21,35431113.0,103.0,Released,"Get on, or GET OUT THE WAY!",5.4,224.0
20,Get Shorty,30250000,12.669608,"[{'name': 'Jersey Films', 'id': 216}, {'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]",1995-10-20,115101622.0,105.0,Released,"The mob is tough, but it’s nothing like show business.",6.4,305.0
22,Assassins,50000000,11.065939,"[{'name': 'Silver Pictures', 'id': 1885}, {'name': 'Canal+', 'id': 5358}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Dino De Laurentiis Company', 'id': 10308}, {'name': 'Donner/Shuler-Donner Productions', 'id': 23397}, {'name': 'Evansgideon/Lazar', 'id': 25061}]",1995-10-06,30303072.0,132.0,Released,"In the shadows of life, In the business of death, One man found a reason to live...",6.0,394.0
24,Leaving Las Vegas,3600000,10.332025,"[{'name': 'United Artists', 'id': 60}, {'name': 'Intial Productions', 'id': 15547}]",1995-10-27,49800000.0,112.0,Released,I Love You... The Way You Are.,7.1,365.0
26,Now and Then,12000000,8.681325,"[{'name': 'New Line Cinema', 'id': 12}]",1995-10-20,27400000.0,100.0,Released,In every woman there is the girl she left behind.,6.6,91.0
28,The City of Lost Children,18000000,9.822423,"[{'name': 'Procirep', 'id': 311}, {'name': 'Constellation Productions', 'id': 590}, {'name': 'France 3 Cinéma', 'id': 591}, {'name': 'Claudie Ossard Productions', 'id': 592}, {'name': 'Eurimages', 'id': 850}, {'name': 'MEDIA Programme of the European Union', 'id': 851}, {'name': 'Cofimage 5', 'id': 1871}, {'name': 'Televisión Española (TVE)', 'id': 6639}, {'name': 'Tele München Fernseh Produktionsgesellschaft (TMG)', 'id': 7237}, {'name': ""Club d'Investissement Média"", 'id': 8170}, {'name': 'Canal+ España', 'id': 9335}, {'name': 'Elías Querejeta Producciones Cinematográficas S.L.', 'id': 12009}, {'name': 'Centre National de la Cinématographie (CNC)', 'id': 18367}, {'name': 'Victoires Productions', 'id': 25020}, {'name': 'Constellation', 'id': 25021}, {'name': 'Lumière Pictures', 'id': 25129}, {'name': 'Canal+', 'id': 47532}, {'name': 'Studio Image', 'id': 68517}, {'name': 'Cofimage 4', 'id': 79437}, {'name': 'Ossane', 'id': 79438}, {'name': 'Phoenix Images', 'id': 79439}]",1995-05-16,1738611.0,108.0,Released,Where happily ever after is just a dream.,7.6,308.0
31,Twelve Monkeys,29500000,12.297305,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Atlas Entertainment', 'id': 507}, {'name': 'Classico', 'id': 17031}]",1995-12-29,168840000.0,129.0,Released,The future is history.,7.4,2470.0
33,Babe,30000000,14.404764,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Kennedy Miller Productions', 'id': 2537}]",1995-07-18,254134910.0,89.0,Released,A little pig goes a long way.,6.0,756.0
35,Dead Man Walking,11000000,6.891317,"[{'name': 'Havoc', 'id': 406}, {'name': 'PolyGram Filmed Entertainment', 'id': 1382}, {'name': 'Working Title Films', 'id': 10163}]",1995-12-29,39363635.0,122.0,Released,,7.3,350.0
38,Clueless,12000000,9.882383,"[{'name': 'Paramount Pictures', 'id': 4}]",1995-07-19,0.0,97.0,Released,Sex. Clothes. Popularity. Is there a problem here?,6.9,828.0
41,Dead Presidents,10000000,9.87957,"[{'name': 'Caravan Pictures', 'id': 175}, {'name': 'Underworld Entertainment', 'id': 476}, {'name': 'Hollywood Pictures', 'id': 915}]",1995-10-06,0.0,119.0,Released,"In this daring heist, the only color that counts is green",6.6,80.0
42,Restoration,19000000,10.979269,"[{'name': 'Miramax Films', 'id': 14}]",1995-12-29,0.0,117.0,Released,,6.3,30.0
43,Mortal Kombat,18000000,10.870138,"[{'name': 'New Line Cinema', 'id': 12}, {'name': 'Threshold Entertainment', 'id': 4174}]",1995-08-18,122195920.0,101.0,Released,Nothing In This World Has Prepared You For This.,5.4,452.0
44,To Die For,20000000,10.448481,"[{'name': 'The Rank Organisation', 'id': 364}, {'name': 'Columbia Pictures Corporation', 'id': 441}]",1995-05-20,21284514.0,106.0,Released,All she wanted was a little attention.,6.7,177.0
45,How To Make An American Quilt,10000000,4.485958,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Amblin Entertainment', 'id': 56}]",1995-10-06,23574130.0,116.0,Released,There's beauty in the patterns of life.,6.5,38.0
46,Se7en,33000000,18.45743,"[{'name': 'New Line Cinema', 'id': 12}, {'name': 'Juno Pix', 'id': 4286}, {'name': 'Cecchi Gori Pictures', 'id': 65394}]",1995-09-22,327311859.0,127.0,Released,Seven deadly sins. Seven ways to die.,8.1,5915.0
47,Pocahontas,55000000,13.280069,"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Walt Disney Feature Animation', 'id': 10217}]",1995-06-14,346079773.0,81.0,Released,An American legend comes to life.,6.7,1509.0
49,The Usual Suspects,6000000,16.302466,"[{'name': 'Blue Parrot Productions', 'id': 361}, {'name': 'Bad Hat Harry Productions', 'id': 9168}]",1995-07-19,23341568.0,106.0,Released,Five Criminals. One Line Up. No Coincidence.,8.1,3334.0
51,Mighty Aphrodite,15000000,15.899134,"[{'name': 'Miramax Films', 'id': 14}, {'name': 'Magnolia Pictures', 'id': 1030}]",1995-09-13,6700000.0,95.0,Released,,6.7,145.0
59,The Indian in the Cupboard,45000000,10.673296,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Columbia Pictures Corporation', 'id': 441}, {'name': 'The Kennedy/Marshall Company', 'id': 862}]",1995-07-14,0.0,96.0,Released,,5.9,136.0
60,Eye for an Eye,20000000,4.733526,"[{'name': 'Paramount Pictures', 'id': 4}]",1996-01-12,0.0,101.0,Released,What do you do when justice fails?,5.8,65.0
64,Bio-Dome,15000000,6.387469,"[{'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}, {'name': 'Motion Picture Corporation of America (MPCA)', 'id': 11061}, {'name': '3 Arts Entertainment', 'id': 36390}, {'name': 'Weasel Productions', 'id': 38003}]",1996-01-12,0.0,88.0,Released,Bud and Doyle are here to save the world. But who's gonna save the world from Bud and Doyle?,4.4,110.0
68,Friday,3500000,14.56965,"[{'name': 'New Line Cinema', 'id': 12}]",1995-04-26,28215918.0,91.0,Released,A lot can go down between thursday and saturday...,7.0,513.0
69,From Dusk Till Dawn,19000000,15.339153,"[{'name': 'A Band Apart', 'id': 59}, {'name': 'Dimension Films', 'id': 7405}, {'name': 'Los Hooligans Productions', 'id': 11705}, {'name': 'Miramax', 'id': 53009}]",1996-01-19,25836616.0,108.0,Released,One night is all that stands between them and freedom. But it's going to be a hell of a night.,6.9,1644.0
70,Fair Game,50000000,5.912223,"[{'name': 'Silver Pictures', 'id': 1885}, {'name': 'Warner Bros.', 'id': 6194}]",1995-11-03,11534477.0,91.0,Released,He's a cop on the edge. She's a woman with a dangerous secret. And now they're both...,4.1,54.0
74,Big Bully,15000000,2.936443,"[{'name': 'Warner Bros.', 'id': 6194}, {'name': 'Morgan Creek Productions', 'id': 10210}]",1996-01-26,2042530.0,90.0,Released,A comedy for the kid in all of us.,3.9,16.0
75,Screamers,20000000,12.758848,"[{'name': 'The Movie Network (TMN)', 'id': 3388}, {'name': 'Allegro Films', 'id': 4899}, {'name': 'Fuji Eight Company Ltd.', 'id': 7958}, {'name': 'Fries Film Group', 'id': 23096}, {'name': 'Super Ecran', 'id': 23097}, {'name': 'Triumph Films', 'id': 23098}]",1995-09-08,5781885.0,108.0,Released,The last scream you hear will be your own.,6.1,154.0
78,The Juror,44000000,6.010579,"[{'name': 'Columbia Pictures Corporation', 'id': 441}]",1996-02-02,0.0,118.0,Released,There is no defense.,5.5,91.0
80,Things to Do in Denver When You're Dead,8000000,4.486179,"[{'name': 'Miramax Films', 'id': 14}]",1995-12-01,529766.0,116.0,Released,Protect. Love. Honor. Avenge.,6.7,87.0
81,Antonia's Line,900000,2.030174,"[{'name': 'Bergen Film', 'id': 575}, {'name': 'Bard Entertainments', 'id': 576}, {'name': 'NPS Televisie', 'id': 577}]",1995-09-12,0.0,102.0,Released,A motion picture that celebrates everything you love about life.,7.2,26.0
85,White Squall,38000000,9.568604,"[{'name': 'Hollywood Pictures', 'id': 915}, {'name': 'Largo Entertainment', 'id': 1644}, {'name': 'Scott Free Productions', 'id': 1645}]",1996-02-02,10300000.0,129.0,Released,,6.3,86.0
86,Dunston Checks In,16000000,4.814825,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Joe Wizan/Todd Black', 'id': 3311}]",1996-01-12,0.0,88.0,Released,He's about to turn a Five Star Hotel into a three ring circus.,5.1,59.0
88,Nick of Time,8169363,6.848591,"[{'name': 'Paramount Pictures', 'id': 4}]",1995-11-22,8175346.0,90.0,Released,,6.1,190.0
90,Mary Reilly,47000000,12.866139,"[{'name': 'TriStar Pictures', 'id': 559}, {'name': 'NFH Productions', 'id': 18737}]",1996-02-23,12379402.0,104.0,Released,The untold story of Jekyll and Hyde,5.7,77.0
91,Vampire in Brooklyn,14000000,9.071127,"[{'name': 'Paramount Pictures', 'id': 4}]",1995-10-26,19800000.0,100.0,Released,A comic tale of horror and seduction.,4.5,113.0
93,Broken Arrow,50000000,14.957626,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'WCG Entertainment Productions', 'id': 456}, {'name': 'Mark Gordon Productions', 'id': 11362}]",1996-02-09,150270147.0,108.0,Released,Prepare to Go Ballistic.,5.7,459.0
95,La Haine,3000000,12.108196,"[{'name': 'Egg Pictures', 'id': 802}, {'name': 'PolyGram Filmed Entertainment', 'id': 1382}, {'name': 'Canal+', 'id': 5358}, {'name': 'Les Productions Lazennec', 'id': 5869}, {'name': 'La Sept Cinéma', 'id': 16366}, {'name': 'Kasso Inc. Productions', 'id': 22684}, {'name': 'Studio Image', 'id': 68517}, {'name': 'Cofinergie 6', 'id': 68518}]",1995-05-31,0.0,98.0,Released,Three Young Friends... One Last Chance.,7.9,695.0
99,Bottle Rocket,7000000,6.904831,"[{'name': 'Gracie Films', 'id': 18}, {'name': 'Columbia Pictures Corporation', 'id': 441}]",1996-02-21,560069.0,91.0,Released,"They're not really criminals, but everyone's got to have a dream.",6.8,285.0
101,Unforgettable,18000000,2.464425,"[{'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}, {'name': 'Dino De Laurentiis Company', 'id': 10308}, {'name': 'Spelling Films', 'id': 10355}]",1996-02-23,0.0,106.0,Released,He loved her. He lost her. He won't let her memory die... until it tells him who killed her.,5.3,22.0
102,Happy Gilmore,12000000,9.592265,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Brillstein-Grey Entertainment', 'id': 1606}, {'name': 'Robert Simonds Productions', 'id': 3929}]",1996-02-16,41205099.0,92.0,Released,He doesn't play golf... he destroys it.,6.5,767.0
103,The Bridges of Madison County,24000000,5.951077,"[{'name': 'Amblin Entertainment', 'id': 56}, {'name': 'Malpaso Productions', 'id': 171}, {'name': 'Warner Bros.', 'id': 6194}]",1995-05-28,182016617.0,135.0,Released,The path of Francesca Johnson's future seems destined due to an unexpected fork in the road...,7.3,397.0
108,Braveheart,72000000,20.755149,"[{'name': 'Icon Entertainment International', 'id': 4564}, {'name': 'The Ladd Company', 'id': 7965}, {'name': 'B.H. Finance C.V.', 'id': 11353}]",1995-05-24,210000000.0,177.0,Released,Every man dies. Not every man truly lives.,7.7,3404.0
109,Taxi Driver,1300000,14.092713,"[{'name': 'Columbia Pictures Corporation', 'id': 441}, {'name': 'Italo/Judeo Productions', 'id': 46059}, {'name': 'Bill/Phillips', 'id': 46060}]",1976-02-07,28262574.0,114.0,Released,"On every street in every city, there's a nobody who dreams of being a somebody.",8.1,2632.0
110,Rumble in the Bronx,7500000,12.314278,"[{'name': 'New Line Cinema', 'id': 12}, {'name': 'Golden Harvest Company', 'id': 2521}]",1995-01-30,32392047.0,91.0,Released,No Fear. No Stuntman. No Equal.,6.5,245.0
111,Before and After,35000000,2.938293,"[{'name': 'Caravan Pictures', 'id': 175}, {'name': 'Hollywood Pictures', 'id': 915}]",1996-02-23,0.0,108.0,Released,A murder. A suspect. A shadow of a doubt.,5.8,37.0
113,Happiness Is in the Field,13365000,1.254885,"[{'name': 'France 2 Cinéma', 'id': 83}, {'name': 'France 3 Cinéma', 'id': 591}, {'name': 'StudioCanal', 'id': 694}, {'name': 'Les Productions du Champ Poirier', 'id': 883}, {'name': 'Téléma Productions', 'id': 885}]",1995-01-31,0.0,106.0,Released,,7.0,23.0
117,Steal Big Steal Little,25000000,1.522412,"[{'name': 'Savoy Pictures', 'id': 11308}]",1995-09-29,6278139.0,113.0,Released,Two brothers. One fortune. Zero chance they'll share it.,5.1,7.0
120,Boomerang,40000000,6.506983,"[{'name': 'Paramount Pictures', 'id': 4}]",1992-06-30,70100000.0,117.0,Released,A Player Who's About to be Played.,5.4,139.0
123,Flirting with Disaster,7000000,5.579088,"[{'name': 'Miramax Films', 'id': 14}]",1996-03-22,14702438.0,92.0,Released,"A comedy about sex, love, family and other accidents waiting to happen.",6.3,66.0
124,The Neverending Story III: Escape from Fantasia,17000000,6.252377,"[{'name': 'Studio Babelsberg', 'id': 264}, {'name': 'Dieter Geissler Filmproduktion', 'id': 1766}, {'name': 'Cinevox Filmproduktion GmbH', 'id': 1979}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Miramax', 'id': 53009}]",1994-10-26,0.0,95.0,Released,It's a brand new beginning in the adventure that never ends,4.4,105.0
130,Jade,50000000,11.418917,"[{'name': 'Paramount Pictures', 'id': 4}]",1995-10-13,9851610.0,95.0,Released,Some fantasies go too far.,5.1,45.0
138,Up Close & Personal,60000000,3.402749,"[{'name': 'Cinergi Pictures Entertainment', 'id': 1504}, {'name': 'Touchstone Pictures', 'id': 9195}]",1996-03-01,0.0,119.0,Released,"Every Day we Have, is One More Than We Deserve.",5.9,51.0
139,The Birdcage,31000000,6.49968,"[{'name': 'United Artists', 'id': 60}]",1996-03-08,185260553.0,117.0,Released,Come as you are.,6.7,303.0
142,Bad Boys,19000000,9.262184,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Don Simpson/Jerry Bruckheimer Films', 'id': 10288}]",1995-04-07,141407024.0,118.0,Released,Whatcha gonna do?,6.5,1729.0
145,An Awfully Big Adventure,4000000,0.922958,"[{'name': 'Fine Line Features', 'id': 8}, {'name': 'BBC', 'id': 5996}, {'name': 'British Screen Productions', 'id': 12745}, {'name': 'Portman Productions', 'id': 16027}]",1995-07-21,851545.0,113.0,Released,,6.0,11.0
147,Apollo 13,52000000,18.761467,"[{'name': 'Imagine Entertainment', 'id': 23}, {'name': 'Universal Pictures', 'id': 33}]",1995-06-30,355237933.0,140.0,Released,"Houston, we have a problem.",7.3,1637.0
148,Rob Roy,28000000,10.193549,"[{'name': 'United Artists', 'id': 60}, {'name': 'Talisman Productions', 'id': 8989}]",1995-04-13,31596911.0,139.0,Released,Honor made him a man. Courage made him a hero. History made him a legend.,6.5,151.0
150,Batman Forever,100000000,13.321354,"[{'name': 'Warner Bros.', 'id': 6194}, {'name': 'Polygram Filmed Entertainment', 'id': 31080}]",1995-06-16,336529144.0,121.0,Released,"Courage now, truth always...",5.2,1529.0
153,Blue in the Face,2000000,11.528147,"[{'name': 'Miramax Films', 'id': 14}, {'name': 'InterAL', 'id': 30334}]",1995-09-15,1275000.0,83.0,Released,Welcome to the planet Brooklyn.,6.8,28.0
154,Canadian Bacon,11000000,5.391556,"[{'name': 'PolyGram Filmed Entertainment', 'id': 1382}]",1995-06-08,178104.0,91.0,Released,"I'll tell ya another thing, their beer sucks!",5.9,57.0
155,Casper,50000000,12.812539,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Amblin Entertainment', 'id': 56}, {'name': 'The Harvey Entertainment Company', 'id': 11098}]",1995-05-26,287928194.0,100.0,Released,Get an afterlife,6.0,1045.0
156,Clockers,25000000,4.558992,"[{'name': 'Universal Pictures', 'id': 33}, {'name': '40 Acres & A Mule Filmworks', 'id': 4319}]",1995-09-15,13071518.0,128.0,Released,"When there's murder on the streets, everyone is a suspect.",6.8,69.0
157,Congo,50000000,7.260574,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Kennedy/Marshall Company, The', 'id': 7383}]",1995-06-09,152022101.0,109.0,Released,Where you are the endangered species.,5.0,214.0
158,Crimson Tide,53000000,8.657365,"[{'name': 'Hollywood Pictures', 'id': 915}, {'name': 'Don Simpson/Jerry Bruckheimer Films', 'id': 10288}]",1995-05-12,157387195.0,116.0,Released,Danger runs deep.,7.0,508.0
160,Desperado,7000000,6.950458,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Los Hooligans Productions', 'id': 11705}]",1995-08-25,25405445.0,104.0,Released,"When the smoke clears, it just means he's reloading.",6.8,898.0
161,Devil in a Blue Dress,27000000,4.646132,"[{'name': 'TriStar Pictures', 'id': 559}, {'name': 'Mundy Lane Entertainment', 'id': 2510}]",1995-09-15,16140822.0,102.0,Released,Private detective Easy Rawlins has been caught on the wrong side of the most dangerous secret in town.,6.3,88.0
162,Die Hard: With a Vengeance,90000000,15.138855,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Cinergi Pictures Entertainment', 'id': 1504}]",1995-05-19,366101666.0,128.0,Released,Think fast. Look alive. Die hard.,6.9,2094.0
165,First Knight,55000000,15.178338,"[{'name': 'Columbia Pictures Corporation', 'id': 441}, {'name': 'First Knight Productions', 'id': 10158}]",1995-07-07,127600435.0,134.0,Released,Their greatest battle would be for her love.,5.9,319.0
167,Hackers,20000000,14.810519,"[{'name': 'United Artists', 'id': 60}, {'name': 'Suftley', 'id': 87394}]",1995-09-14,7563728.0,107.0,Released,"There is no right or wrong, only fun and boring",6.2,406.0
169,Johnny Mnemonic,25000000,11.715868,"[{'name': 'TriStar Pictures', 'id': 559}, {'name': 'Alliance Communications Corporation', 'id': 2480}]",1995-05-26,19075720.0,97.0,Released,The hottest data on earth. In the coolest head in town.,5.5,380.0
170,Judge Dredd,90000000,8.184815,"[{'name': 'Hollywood Pictures', 'id': 915}, {'name': 'Cinergi Pictures Entertainment', 'id': 1504}]",1995-06-30,113493481.0,96.0,Released,"In the future, one man is the law.",5.4,643.0
172,Kids,1500000,4.877872,"[{'name': 'Miramax Films', 'id': 14}]",1995-07-28,7412216.0,91.0,Released,,6.8,280.0
173,Living in Oblivion,500000,10.058329,"[{'name': 'JDI productions', 'id': 13187}, {'name': 'Lemon Sky Productions', 'id': 13190}]",1995-01-20,1148752.0,89.0,Released,Nick is about to discover the first rule of filmmaking: if at first you don't succeed... PANIC!,7.2,64.0
177,Mallrats,6000000,8.25547,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Gramercy Pictures', 'id': 37}, {'name': 'Alphaville Films', 'id': 11462}, {'name': 'View Askew Productions', 'id': 16934}]",1995-10-20,2122561.0,94.0,Released,They're not there to shop. They're not there to work. They're just there.,6.8,400.0
178,Mighty Morphin Power Rangers: The Movie,15000000,7.024227,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Saban Entertainment', 'id': 2106}, {'name': 'Toei Company', 'id': 9255}]",1995-06-30,66000000.0,92.0,Released,The Power Is On!,5.2,153.0
180,Mute Witness,2,2.466066,"[{'name': 'Comet Film Produktion GmbH', 'id': 16561}, {'name': 'Avrora Media', 'id': 38959}, {'name': 'Cobblestone Pictures', 'id': 38960}]",1995-09-28,1.0,95.0,Released,She Can't Speak. She Can't Scream. She Can't Beg For Mercy.,6.4,36.0
182,The Net,22000000,13.304342,"[{'name': 'Columbia Pictures', 'id': 5}]",1995-07-28,110627965.0,114.0,Released,"No driver's license, no credit cards, no passport, no access to her bank accounts in a foreign country ... She finds her identity stolen.",5.6,359.0
184,Party Girl,150000,1.165039,"[{'name': 'Party Productions', 'id': 37890}]",1995-06-09,472370.0,94.0,Released,"Sassy, savvy and definitely clued-in!",5.8,14.0
185,The Prophecy,8,10.187623,"[{'name': 'Dimension Films', 'id': 7405}]",1995-09-01,16.0,98.0,Released,"On ancient ground, at the edge of the world, an evil born in heaven is about to be unleashed on earth.",6.4,139.0
188,The Scarlet Letter,50000000,6.752119,"[{'name': 'Hollywood Pictures', 'id': 915}, {'name': 'Cinergi Pictures Entertainment', 'id': 1504}]",1995-10-13,10382407.0,135.0,Released,"When intimacy is forbidden and passion is a sin, love is the most defiant crime of all.",5.5,111.0
190,Showgirls,45000000,17.502375,"[{'name': 'United Artists', 'id': 60}, {'name': 'Le Studio Canal+', 'id': 183}, {'name': 'Carolco Pictures', 'id': 14723}]",1995-09-22,20350754.0,128.0,Released,Beyond your wildest dreams. Beyond your wildest fantasies.,4.9,261.0
191,Smoke,7000000,5.552946,"[{'name': 'Miramax Films', 'id': 14}]",1995-06-09,8349430.0,112.0,Released,Where there's smoke... there's laughter!,7.2,115.0
193,Species,35000000,13.492845,"[{'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]",1995-07-07,113374103.0,108.0,Released,Our time is up.,5.5,457.0
195,Strange Days,42000000,11.223055,"[{'name': 'Lightstorm Entertainment', 'id': 574}]",1995-10-13,7959291.0,145.0,Released,You know you want it.,6.8,334.0
197,The Tie That Binds,14000000,1.820419,"[{'name': 'Hollywood Pictures', 'id': 915}, {'name': 'PolyGram Filmed Entertainment', 'id': 1382}, {'name': 'Interscope Communications', 'id': 10201}]",1995-09-08,5780000.0,99.0,Released,,4.6,9.0
201,Under Siege 2: Dark Territory,60000000,7.490247,"[{'name': 'Regency Enterprises', 'id': 508}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Seagal/Nasso Productions', 'id': 17825}, {'name': 'Victor Company of Japan (JVC)', 'id': 21480}, {'name': 'Cutting Edge Films', 'id': 63906}]",1995-07-13,104324083.0,100.0,Released,Last time he rocked the boat. This time the sky's the limit.,5.6,217.0
204,A Walk in the Clouds,20000000,9.715639,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Zucker Brothers Productions', 'id': 2851}]",1995-08-11,50012507.0,103.0,Released,A man in search. A woman in need. A story of fate.,6.5,168.0
205,Waterworld,175000000,16.885184,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Gordon Company', 'id': 1073}, {'name': 'Davis Entertainment', 'id': 1302}, {'name': 'Licht/Mueller Film Corporation', 'id': 6092}]",1995-07-28,264218220.0,135.0,Released,Beyond the horizon lies the secret to a new beginning.,5.9,1017.0
206,White Man's Burden,8000000,1.834099,"[{'name': 'HBO', 'id': 6068}, {'name': 'A BandApart', 'id': 6911}, {'name': 'Rysher Entertainment', 'id': 11661}]",1995-12-01,0.0,89.0,Released,Reality Just Switched Sides,5.1,25.0
207,Wild Bill,30000000,8.922139,"[{'name': 'United Artists', 'id': 60}]",1995-12-01,0.0,98.0,Released,The Name Is Legendary. The Man Is Real.,5.9,27.0
210,Burnt by the Sun,2800000,2.486073,"[{'name': 'Canal+', 'id': 5358}, {'name': 'Studio Trite', 'id': 6453}, {'name': 'Caméra One', 'id': 6454}]",1994-05-01,2616503.0,135.0,Released,A moving and poignant story set against the corrupt politics of the Stalinist era.,6.7,35.0
212,Before Sunrise,2500000,11.304979,"[{'name': 'Detour Film Production', 'id': 98}, {'name': 'Warner Bros.', 'id': 6194}]",1995-01-27,5535405.0,105.0,Released,Can the greatest romance of your life last only one night?,7.7,984.0
213,Billy Madison,10000000,6.638116,"[{'name': 'Jack Giarraputo Productions', 'id': 6365}]",1995-02-10,26488734.0,89.0,Released,Billy is going back to school... Way back.,6.2,464.0
